MID,DBA Name,VI/MC,AMEX,DISC,DEBIT,EBT,,VI/MC,AMEX,DISC,DEBIT,EBT
7641000030003706,PHIL TRANI'S             ,0.1,0.1,0.1,0.1,,,0.13,0.08,0.13,,
7641000030003742,PEV'S PAINTBALL PARK     ,0.52,,0.52,0.52,,,0.13,0.13,0.13,,
7641000030003796,NATURAL CAFE 6           ,0.01,,0.01,0.01,,,0.1,0.1,0.08,,
7641000030003811,GARDEN DIVA DESIGN STUDIO,0.32,0.32,0.32,0.32,,,0.23,0.23,0.23,,
7641000030003816,"DAHL AIR CONDITIONING, IN",0.68,0.68,0.68,,,,0.13,0.13,0.13,,
7641000030003835,SWEET PEAS               ,0.37,,0.37,0.37,,,0.12,0.13,0.13,,
7641000030003841,CAFE DES AMIS            ,0.12,0.12,0.12,,,,0.1,0.1,0.1,,
7641000030003862,GRACE COMMUNITY CHURCH DO,0.22,0.22,0.22,0.05,,,0.13,0.13,0.13,0.11,
7641000030003891,UNDERGROUND HAIR ARTISTS ,0.32,0.32,0.32,0.05,,,0.2,0.2,0.2,0.37,
7641000030003893,BRACKETT FIELD AIRPORT   ,0.22,0.22,0.22,0.22,,,,,,,
7641000030003894,COMPTON AIRPORT          ,0.22,0.22,0.22,0.22,,,,,,,
7641000030003895,SAN GABRIEL VAL. AIRPORT ,0.22,,0.22,0.22,,,,,,,
7641000030003896,FOXFIELD AIRPORT         ,0.22,0.22,0.22,0.22,,,,,,,
7641000030003897,WHITEMAN AIRPORT         ,0.22,0.22,0.22,0.22,,,,,,,
7641000030003912,CALIFORNIA CONCEPTS HAIR ,0.22,0.22,0.22,0.22,,,0.11,0.11,0.11,,
7641000030003922,WAIKAPU ON 30            ,0.02,0.02,0.02,0.05,,,0.23,0.23,0.23,0.27,
7641000030003936,INK & PEAT               ,0.17,0.17,0.17,0.17,,,0.13,0.13,0.13,,
7641000030003946,JIMMY BEANS WOOL         ,0.06,0.06,0.06,,,,0.12,0.13,0.12,,
7641000030003956,JIMMY BEANS WOOL         ,0.06,0.06,0.06,0.06,,,0.13,0.13,0.13,,
7641000030003958,SALON ARGIO              ,0.5,0.55,0.5,0.55,,,0.03,0.13,0.03,,
7641000030004017,FESS PARKER'S WINE COUNTR,0.23,,0.23,0.23,,,0.11,0.11,0.11,,
7641000030004069,PURE ELEMENTS - SHERYL   ,0.27,0.27,0.27,0.27,,,0.23,0.23,0.23,,
7641000030004113,RIVERSIDE INN            ,0.12,,0.12,0.12,,,,0.08,0.08,,
7641000030004114,WEASKU INN               ,0.12,,0.12,0.12,,,,0.08,0.08,,
7641000030004115,THE LODGE AT RIVERSIDE   ,0.12,,0.12,0.12,,,,0.08,0.08,,
7641000030004116,COUNTRY HOUSE INNS JACKSO,0.12,,0.12,0.12,,,0.11,0.08,0.11,,
7641000030004142,IMUA PHYSICAL THERAPY    ,0.46,0.11,0.46,0.11,,,0.11,0.11,0.11,,
7641000030004180,ABOVE & BEYOND CHIROPRACT,0.42,0.42,0.42,0.42,,,0.13,0.13,0.08,,
7641000030004182,CARR WINERY              ,0.22,0.22,0.22,0.22,,,0.11,0.11,0.11,,
7641000030004199,MILILANI MEMORIAL - ADMI ,0.1,0.1,0.1,0.05,,,0.11,0.11,0.11,0.18,
7641000030004200,MILILANI MEMORIAL - SALE ,0.1,0.1,0.1,0.1,,,0.11,0.11,0.11,,
7641000030004201,MILILANI MEMORIAL - MAUK ,0.1,0.1,0.1,0.1,,,0.11,0.11,0.11,,
7641000030004202,MILILANI MEMORIAL - DOWN ,0.1,0.1,0.1,0.05,,,0.11,0.11,0.11,0.18,
7641000030004222,LANE FARMS               ,0.22,0.22,0.22,0.22,,,0.11,0.11,0.11,,
7641000031000536,INTERNATIONAL SPORT SCIEN,0.12,0.12,0.12,,,,0.13,0.12,0.13,,
7641000031000857,NATASHA                  ,0.55,0.55,0.55,,,,0.08,0.12,0.12,,
7641000031001067,MJD PATIENT COMMUNICATION,2.05,0.11,2.05,2.04,2.04,,,0.09,0.12,,
7641000031001183,"CAPPELLO & NOEL, LLP     ",2.24,,2.24,2.24,2.24,,,0.12,0.12,,
7641000031001238,THE GEM SHOP             ,0.32,0.32,0.32,0.32,0.32,,0.13,0.13,0.13,,
7641000031001286,CARTY & CARTY ANTIQUES   ,0.22,0.22,0.22,0.22,0.22,,0.28,0.08,0.08,,
7641000031001303,DORIAN MENDEZ - SHORELINE,2.09,2.09,2.09,2.09,2.09,,0.13,0.13,0.08,,
7641000031001550,FARSH - MOTO             ,0.61,0.77,0.61,0.61,,,0.08,0.08,0.08,,
7641000031001891,UPHAM HOTEL              ,0.13,,0.13,,,,0.07,0.12,0.12,,
7641000031001914,ACTIVITY WHOLESALERS     ,1.88,,1.88,1.88,,,0.28,0.18,0.28,,
7641000031001915,RAINBOW KAYAK TOURS      ,1.88,,1.88,1.88,,,0.28,0.18,0.28,,
7641000031001946,"MONTECITO INN, INC.      ",0.14,,0.14,0.14,,,,0.12,,,
7641000031001957,ISLAND PACIFIC DISTRIBUTO,0.15,0.15,0.15,0.15,,,0.13,0.13,0.12,,
7641000031001978,NAISH HAWAII             ,0.32,0.32,0.32,0.32,,,,0.12,0.12,,
7641000031002034,COYOTE BAR & GRILL       ,0.06,0.06,0.06,0.12,,,0.11,0.08,0.11,,
7641000031002068,GEORGE THOMPSON DIAMOND C,0.07,,0.07,0.05,,,0.07,0.12,0.12,0.12,
7641000031002097,BRISAS DEL MAR           ,0.07,,0.07,0.07,,,,0.08,,,
7641000031002098,LAVENDER INN BY THE SEA  ,0.07,,0.07,0.07,,,,0.08,,,
7641000031002099,INN BY THE HARBOR        ,0.07,,0.07,0.07,,,,0.08,,,
7641000031002104,ENCINA LODGE & SUITES    ,0.07,,0.07,0.07,,,0.05,0.12,0.12,,
7641000031002105,PEPPER TREE INN          ,0.07,,0.07,0.07,,,,0.08,,,
7641000031002384,MOUNTAIN AIR SPORTS - SB ,0.27,0.27,0.27,0.05,,,0.17,0.12,0.17,0.12,
7641000031002397,STONEYARD BUILDING MATERI,0.37,0.37,0.37,0.37,,,,0.12,0.12,,
7641000031002403,HARBORTOWN POINT RESORT  ,0.42,,0.42,0.42,,,0.17,0.12,0.17,,
7641000031002434,BRIAN'S FISHING SUPPLY   ,2.23,2.23,2.23,0.05,,,,,0.12,0.17,
7641000031002519,KENNEDY KRIEGER INSTITUTE,1.83,0.27,1.83,1.83,,,0.23,0.12,0.23,,
7641000031002526,ROSE GARDEN INN SB       ,0.17,0.17,0.17,0.17,,,0.15,0.12,0.15,,
7641000031002547,STONEYARD BUILDING MATERI,0.37,0.37,0.37,0.37,,,,0.12,0.12,,
7641000031002557,"BOWIE PRODUCE COMPANY, IN",0.21,0.21,0.21,0.21,,,0.15,0.12,0.15,,
7641000031002559,ELLIOT'S FURNITURE       ,0.17,0.17,0.17,0.05,,,0.17,0.12,0.17,0.07,
7641000031002567,FRANCISCAN INN           ,0.17,0.17,0.17,0.17,,,0.07,0.12,0.12,,
7641000031002589,BRILHANTE PICTURE FRAMING,0.01,0.01,0.01,0.05,,,0.13,0.13,0.13,0.07,
7641000031002597,MISSION AUDIO VIDEO      ,0.12,0.12,0.12,0.12,,,0.05,0.12,0.12,,
7641000031002631,PLASTRUCT INC            ,0.22,0.22,0.22,0.22,,,0.11,0.11,0.11,,
7641000031002674,TIBURON TAVERN           ,0.01,,0.01,,,,0.2,0.12,0.12,,
7641000031002767,CAR AUDIO SPECIALISTS- KA,0.14,0.14,0.14,0.05,,,0.07,0.12,0.12,0.07,
7641000031002771,CAR AUDIO SPECIALISTS - M,0.14,0.14,0.14,0.05,,,0.07,0.12,0.12,0.07,
7641000031002792,"UNIVERSAL PRESS, INC     ",1.99,0.37,1.99,1.99,,,,0.12,0.12,,
7641000031002793,GLOBAL VILLAGE           ,0.17,0.17,0.17,,,,0.13,0.12,0.13,,
7641000031002852,JEDLICKA'S - SANTA BARBAR,0.11,,0.11,0.11,,,0.13,0.12,0.12,,
7641000031002854,JEDLICKA'S - LOS OLIVOS  ,0.11,,0.11,0.11,,,0.13,0.12,0.13,,
7641000031002860,OPEN DOORS               ,2.13,0.12,2.13,2.13,,,0.28,0.12,0.28,,
7641000031002913,"STEWART SURFBOARDS, INC  ",0.17,,0.17,0.05,,,0.15,0.12,0.15,0.07,
7641000031003114,KAMA'AINA KIDS - KAILUA  ,0.85,,0.87,0.05,0.05,,,0.12,0.12,0.22,0.23
7641000031004059,PISMO STATE BEACH GOLF CO,0.28,0.28,0.28,0.28,,,0.17,0.17,0.12,,
7641000031004088,FIN'S RESTAURANT         ,0.28,,0.28,0.28,,,0.15,0.12,0.15,,
7641000031004223,ARDETH NEIMAN WAXING     ,1.84,1.84,1.84,1.84,,,0.23,0.23,0.12,,
7641000031004232,HOTSPRING SPAS OF OC     ,0.22,0.22,0.22,0.22,,,0.13,0.12,0.13,,
7641000031004233,POOL AND SPA MART        ,0.22,0.22,0.22,0.05,,,0.13,0.12,0.13,0.07,
7641000031004246,PURE ELEMENTS - MICHELLE ,0.27,0.27,0.27,0.27,,,0.23,0.23,0.12,,
7641000031004247,PURE ELEMENTS - BEV      ,0.27,0.27,0.27,0.27,,,0.23,0.23,0.12,,
7641000031004260,STANFORD COURT           ,0.22,0.22,0.22,0.22,,,0.13,0.12,0.12,,
7641000031004282,RDL REFERENCE LAB        ,1.67,,1.67,1.67,,,0.15,0.12,0.15,,
7641000031004317,THE GOLF KLUB            ,0.32,0.32,0.32,0.05,,,0.15,0.12,0.15,0.26,
7641000031004450,BUONA TAVOLA             ,0.11,0.11,0.11,0.11,,,0.12,0.12,0.12,,
7641000031004477,SANTA BARBARA WINERY WINE,0.12,,0.12,0.12,,,0.13,0.12,0.12,,
7641110042401009,OLOMANA ORCHIDS INC      ,0.27,0.27,0.27,,,,0.11,0.11,0.11,,
7641110042401018,CHINA PALACE             ,0.24,0.24,0.24,,,,0.15,0.12,0.12,,
7641110042401031,NED LUDD                 ,0.22,0.22,0.22,,,,0.1,0.1,0.1,,
7641110042401047,JOURNELLE                ,0.11,,0.11,,,,0.11,0.11,0.11,,
7641110042401053,PORKY'S PIZZA            ,0.12,0.12,0.12,,,,0.1,0.1,0.1,,
7641110042401072,RICH'S PERFORMANCE DIESEL,0.37,0.37,0.37,,,,0.13,0.13,0.13,,
7641110042401076,CLINTON CHIROPRACTIC     ,0.59,,0.59,0.37,,,0.11,0.08,,0.21,
7641110042401095,ROYAL AUTO REPAIR        ,0.22,0.22,0.22,0.07,,,,0.08,0.08,0.08,
7641110042401142,BLACKBIRD WINE           ,0.22,0.22,0.22,,,,0.11,0.11,0.11,,
7641110042401147,VIM N' VIGOR             ,0.19,0.19,0.19,,,,0.18,0.18,0.18,,
7641110042401166,HAZARD'S CYCLESPORT      ,0.27,,0.27,0.02,,,0.11,0.11,0.11,0.23,
7641110042401167,HOTEL STRASBURG          ,0.12,0.12,0.12,,,,0.1,0.1,0.1,,
7641110042401168,HOTEL STRASBURG RESTAURAN,0.12,0.12,0.12,,,,0.1,0.1,0.1,,
7641110042401169,FORMSTACK                ,0.32,,0.32,,,,0.13,0.18,0.18,,
7641110042401177,SALON VIVO               ,0.99,1.04,0.99,,,,0.03,0.13,0.03,,
7641110042401187,SALON VIVO - ANTHONY     ,0.99,1.04,0.99,,,,0.03,0.13,0.03,,
7641110042401207,LOVELY'S FIFTY FIFTY     ,0.41,0.41,0.41,,,,0.15,0.15,0.15,,
7641110042401209,"JACK DENNIS LEWIS, DDS   ",0.22,0.22,0.22,0.12,,,0.13,0.08,0.13,0.08,
7641110042401214,CALVARY MONTEREY         ,0.42,0.47,0.42,,,,0.03,0.13,0.03,,
7641110042401237,QUADSPONSOR.COM          ,0.67,0.67,0.67,,,,0.13,0.13,0.13,,
7641110042401285,PURE ELEMENTS - LORI     ,0.27,0.27,0.27,,,,0.23,0.23,0.23,,
7641110042401325,HOT ISLAND GLASS         ,0.22,,0.22,,,,0.14,0.08,0.08,,
7641110042401330,CHEESE BAR               ,0.32,0.32,0.32,,,,0.13,0.13,0.13,,
7641110042401339,ROCKLIN FLORIST          ,1.08,,1.08,,,,0.12,0.22,0.12,,
7641110042401349,WESTMONT ART GALLERY     ,0.07,,0.07,,,,0.18,0.18,0.18,,
7641110042401352,EL'S AUTOBODY & PAINT INC,0.22,0.22,0.22,,,,0.13,0.13,0.13,,
7641110042401361,CHARTER SCHOOLS DEVELOPME,0.67,0.67,0.67,,,,0.13,0.13,0.13,,
7641110042401372,BY THE BAY               ,0.4,,0.4,,,,0.11,0.08,0.11,,
7641110042401376,THE MENTORING PROJECT    ,0.67,0.67,0.67,,,,0.13,0.13,0.13,,
7641110042401384,SHERRI REEVE GALLERY AND ,0.19,0.19,0.19,,,,0.11,0.08,0.11,,
7641110042401391,HERBAL SPA SAUNA AND SALO,0.27,0.27,0.27,,,,0.18,0.13,0.18,,
7641110042401397,PORKY'S PIZZA            ,0.12,0.12,0.12,,,,0.1,0.12,0.1,,
7641110042401400,HABITAT FOR HUMANITY OF S,0.07,,0.07,,,,0.08,0.08,0.08,,
7641110042401402,DADIANA SALON - JULIETA  ,2.1,2.1,2.1,,,,0.13,0.13,0.12,,
7641110042401410,HIC - BEACHWALK          ,0.12,0.12,0.12,0.05,,,0.13,0.12,0.13,0.11,
7641110042401423,KARMAKANIX               ,0.09,0.09,0.09,0.12,,,0.11,0.08,0.11,0.07,
7641110042401455,CC SCHOOL OF WORSHIP     ,0.19,0.19,0.19,,,,0.15,0.15,0.12,,
7641110042401471,RIVER CITY BICYCLES      ,0.11,0.11,0.11,0.01,,,0.21,0.16,0.21,0.18,
7641110042401488,MAUI MASTER JEWELERS     ,0.22,0.22,0.22,,,,0.08,0.08,0.08,,
7641110042401497,NAVARRE                  ,0.2,0.2,0.2,,,,,0.08,,,
7641110042401501,PERFORMANCE FOOD CENTER  ,0.06,,0.06,,,,0.11,0.12,0.11,,
7641110042401535,LAHAINA COOLERS          ,0.07,0.07,0.07,,,,0.11,0.08,0.11,,
7641110042401550,"MICHAEL J. CLARK, CPA    ",0.36,0.41,0.36,,,,0.13,0.13,0.13,,
7641110042401552,SANTA BARBARA ELKS LODGE ,0.27,,0.27,,,,0.1,0.14,0.14,,
7641110042401558,ALII DRY CLEANERS        ,0.22,0.22,0.22,,,,0.1,0.1,0.1,,
7641110042401563,SIMMER HAWAII            ,0.27,0.27,0.27,,,,0.13,0.13,0.13,,
7641110042401578,THE PRESS ROOM           ,0.22,0.22,0.22,,,,0.13,0.08,0.13,,
7641110042401584,RICH'S TIRE BARN         ,0.12,,0.12,,,,0.11,0.08,0.11,,
7641110042401586,SMITH BERRY BARN         ,0.37,0.37,0.37,,,,0.13,0.13,0.13,,
7641110042401593,THE MERCANTILE           ,0.22,0.22,0.22,,,,0.11,0.11,0.11,,
7641110042401594,LA STRADA                ,0.36,0.36,0.36,,,,0.12,0.11,0.12,,
7641110042401598,"TAGAMI AUTO SERVICE, LTD ",0.62,0.62,0.62,,,,,,0.13,,
7641110042401612,DEETOURS OF SANTA BARBARA,0.22,,0.22,,,,0.15,0.15,0.15,,
7641110042401615,ARTISTIC AUTO BODY       ,0.12,0.12,0.12,0.12,,,0.13,0.13,0.13,0.13,
7641110042401618,ARTISTIC AUTO BODY       ,0.12,0.12,0.12,0.12,,,0.13,0.13,0.13,0.13,
7641110042401637,SANTA BARBARA HISTORICAL ,0.21,0.21,0.21,,,,0.13,0.13,0.13,,
